subject,category,total_spikes_x_strength,total_spikes_x_clustering,mean_firing_rate_x_strength,mean_firing_rate_x_clustering,rate_entropy_x_strength,rate_entropy_x_clustering,rate_variance_x_strength,rate_variance_x_clustering,temporal_sparsity_x_strength,temporal_sparsity_x_clustering,permutation_entropy_x_strength,permutation_entropy_x_clustering,tau_ac_x_strength,tau_ac_x_clustering
6,Threat,-0.296562,-0.289534,-0.296562,-0.289534,-0.296562,-0.289534,-0.313369,-0.304813,0.214106,0.215023,-0.006264,0.010237,-0.021872,-0.000306
6,Mutilation,-0.136440,-0.159358,-0.136440,-0.159358,-0.135523,-0.160275,-0.185332,-0.212529,0.406816,0.428975,-0.514439,-0.496104,-0.566843,-0.485668
6,Cute,-0.277922,-0.282811,-0.277922,-0.282811,-0.268449,-0.272422,-0.288312,-0.294423,-0.048452,-0.017730,-0.141940,-0.167303,0.042986,0.035337
6,Erotic,-0.632697,-0.649503,-0.632697,-0.649503,-0.640947,-0.657754,-0.645531,-0.662949,0.559945,0.567892,-0.574637,-0.571276,-0.578855,-0.573962
7,Threat,-0.082047,-0.088770,-0.082047,-0.088770,-0.082047,-0.088770,-0.087548,-0.089687,0.055479,0.063885,-0.082964,-0.095187,-0.031894,-0.055622
7,Mutilation,-0.276089,-0.299924,-0.276089,-0.299924,-0.276394,-0.300840,-0.284339,-0.307563,0.145805,0.170717,-0.234836,-0.250115,-0.180830,-0.201195
7,Cute,-0.405348,-0.387013,-0.405348,-0.387013,-0.405042,-0.386402,-0.381818,-0.358900,0.266870,0.234314,-0.416960,-0.376623,-0.150421,-0.144606
7,Erotic,0.484529,0.484987,0.484529,0.484987,0.498549,0.500382,0.524523,0.525745,-0.259494,-0.261022,0.318564,0.322842,0.378213,0.387546
8,Threat,-0.505882,-0.495187,-0.505882,-0.495187,-0.499465,-0.486937,-0.501910,-0.488464,0.377292,0.352231,-0.671811,-0.615890,-0.280031,-0.168478
8,Mutilation,0.243392,0.268144,0.243392,0.268144,0.271811,0.295646,0.192055,0.226280,0.106389,0.087588,-0.152330,-0.082964,-0.228630,-0.175268
8,Cute,-0.289840,-0.282811,-0.289840,-0.282811,-0.279450,-0.271811,-0.325286,-0.318869,-0.131418,-0.098105,-0.052101,-0.074102,0.102113,0.102878
8,Erotic,-0.273338,-0.252865,-0.273338,-0.252865,-0.270283,-0.251031,-0.288617,-0.271505,0.269672,0.254087,-0.478075,-0.471658,-0.187730,-0.151622
9,Threat,0.686784,0.689534,0.686784,0.689534,0.683117,0.685561,0.692895,0.692590,-0.689239,-0.695659,0.679450,0.696562,0.580626,0.589189
9,Mutilation,0.079603,0.076547,0.079603,0.076547,0.079603,0.076547,0.071352,0.068296,0.025976,0.030254,0.067074,0.063713,0.478504,0.477116
9,Cute,-0.123300,-0.115050,-0.123300,-0.115050,-0.107716,-0.099771,-0.116578,-0.108327,0.172664,0.176942,0.009626,0.004736,0.050621,0.056006
9,Erotic,-0.155997,-0.123606,-0.155997,-0.123606,-0.159053,-0.125134,-0.174332,-0.143468,-0.012225,-0.028576,-0.174026,-0.104354,0.051992,0.096491
10,Threat,-0.342093,-0.357372,-0.342093,-0.357372,-0.328037,-0.345760,-0.366234,-0.384263,0.501299,0.505271,-0.596639,-0.597861,-0.505472,-0.447931
10,Mutilation,0.273033,0.237892,0.273033,0.237892,0.270894,0.235447,0.276700,0.239114,-0.495072,-0.471235,-0.013598,-0.034072,0.115791,0.103232
10,Cute,-0.460351,-0.453934,-0.460351,-0.453934,-0.460351,-0.453934,-0.467685,-0.461268,0.441592,0.438995,-0.468602,-0.467685,0.022386,0.016253
10,Erotic,-0.292590,-0.285561,-0.292590,-0.285561,-0.297479,-0.290451,-0.263560,-0.255921,0.231104,0.224990,-0.497326,-0.491215,0.090916,0.091528
11,Threat,-0.649503,-0.648892,-0.649503,-0.648892,-0.649198,-0.648587,-0.662032,-0.663560,0.501070,0.506112,-0.643086,-0.620779,-0.406925,-0.401237
11,Mutilation,0.032394,-0.011154,0.032394,-0.011154,0.034377,-0.007792,0.031627,-0.012376,-0.288509,-0.261308,0.153552,0.105271,-0.168521,-0.198422
11,Cute,-0.313063,-0.312758,-0.313063,-0.312758,-0.309091,-0.308785,-0.311230,-0.311230,0.248453,0.249675,-0.266616,-0.270588,0.014732,0.008747
11,Erotic,-0.511994,-0.514744,-0.511994,-0.514744,-0.516578,-0.519328,-0.520550,-0.522995,0.419895,0.421117,-0.315508,-0.321008,-0.149460,-0.152220
12,Threat,0.545607,0.498549,0.545607,0.498549,0.553858,0.506799,0.556914,0.509549,-0.534882,-0.492703,0.568526,0.527578,-0.011493,-0.037239
12,Mutilation,0.323147,0.306035,0.323147,0.306035,0.328648,0.310619,0.340871,0.321008,-0.295979,-0.280538,0.147441,0.124828,-0.155542,-0.164115
12,Cute,0.716119,0.728648,0.716119,0.728648,0.722536,0.733537,0.721008,0.727731,-0.732941,-0.750821,0.637586,0.667838,0.211396,0.248107
12,Erotic,-0.337204,-0.382124,-0.337204,-0.382124,-0.374179,-0.418182,-0.262949,-0.304202,-0.137430,-0.098601,0.159664,0.082047,0.069953,0.019440
13,Threat,-0.325898,-0.332926,-0.325898,-0.332926,-0.324370,-0.331092,-0.314591,-0.322231,0.263009,0.268969,-0.243697,-0.252559,-0.193383,-0.201880
13,Mutilation,-0.112911,-0.122995,-0.112911,-0.122995,-0.104660,-0.114439,-0.147135,-0.157830,0.223088,0.235159,-0.398319,-0.408403,-0.495362,-0.501656
13,Cute,-0.137662,-0.125745,-0.137662,-0.125745,-0.121161,-0.108938,-0.184110,-0.172193,0.125936,0.118447,-0.322842,-0.297479,-0.516144,-0.507116
