subject,Threat,Mutilation,Cute,Erotic
6,0.238918,0.341118,0.221106,0.615345
7,0.078721,0.255788,0.348619,0.433000
8,0.476835,0.214430,0.230458,0.294827
9,0.675108,0.191441,0.110420,0.126861
10,0.437083,0.269577,0.423610,0.298977
11,0.599957,0.135934,0.273199,0.442154
12,0.489738,0.277057,0.668516,0.275438
13,0.292108,0.274372,0.254362,0.235892
14,0.174596,0.363544,0.296467,0.203198
15,0.112123,0.346406,0.139588,0.227650
16,0.151600,0.185458,0.163103,0.080280
17,0.170486,0.361324,0.411103,0.246382
18,0.221694,0.544471,0.160965,0.413424
19,0.268520,0.498414,0.187614,0.358537
20,0.172349,0.186692,0.189443,0.208654
21,0.126733,0.208247,0.128897,0.381915
22,0.680698,0.294251,0.618830,0.318912
23,0.147342,0.123610,0.417264,0.238633
24,0.139150,0.313106,0.428925,0.188929
25,0.405587,0.319653,0.466827,0.268731
27,0.139068,0.150559,0.348666,0.409312
28,0.233316,0.475104,0.653135,0.281356
29,0.342329,0.322145,0.224071,0.108222
30,0.246059,0.224767,0.166420,0.395256
32,0.269667,0.463563,0.310517,0.165583
33,0.309883,0.147131,0.153270,0.188565
34,0.361615,0.303342,0.344979,0.491964
35,0.106832,0.189539,0.263548,0.329272
36,0.279066,0.307649,0.098203,0.064147
37,0.265163,0.347248,0.424379,0.286839
38,0.187493,0.366342,0.194478,0.237402
39,0.472281,0.083739,0.447250,0.137428
41,0.389211,0.503230,0.355040,0.201163
42,0.112612,0.145767,0.533892,0.254853
43,0.062049,0.316271,0.384079,0.296358
44,0.094088,0.107388,0.224124,0.320276
45,0.420470,0.430368,0.435292,0.364839
46,0.316519,0.208441,0.509533,0.093525
47,0.178253,0.236477,0.164667,0.179969
48,0.103190,0.211515,0.179086,0.513381
49,0.421034,0.110393,0.473522,0.363966
50,0.110561,0.403354,0.234529,0.423072
51,0.384098,0.223488,0.180500,0.378579
52,0.178628,0.349040,0.266907,0.416101
53,0.206113,0.207662,0.060537,0.579876
54,0.333433,0.303235,0.190604,0.331246
55,0.136385,0.566862,0.648179,0.138596
56,0.472512,0.159865,0.507335,0.483796
57,0.117387,0.241510,0.318605,0.151211
58,0.312264,0.253489,0.145289,0.291808
62,0.321298,0.091557,0.088664,0.234209
63,0.088164,0.333000,0.267233,0.355336
64,0.494684,0.438507,0.518569,0.317761
65,0.400919,0.301449,0.245667,0.102218
66,0.273593,0.187585,0.165781,0.560689
67,0.168438,0.113736,0.287735,0.385689
68,0.225722,0.147727,0.162539,0.196073
