# Experiment A — audit trail
# script: defense_figures/experiment_a_autonomous_vs_driven/make_experiment_a_figures.py
# pickle: chapter6Experiments/results/ch6_exp1_full.pkl
# reservoir_class: chapter6Experiments/run_chapter6_exp1_esp.py:Reservoir (sparse Gaussian, no SR rescaling)
# reservoir_seed: 42
# n_res: 256
# beta: 0.05
# threshold: 0.5
# density: 0.10
# sigma_w_rec: 0.05
# sigma_w_in: 0.30
# rho_W_rec: 0.2647549015
# T_renorm: 50
# delta_0: 1e-08
# n_measurements: 3165
# columns: trial,subject,class,channel,lambda1
trial,subject,class,channel,lambda1
0,6,0,0,-0.0616203150
0,6,0,8,-0.0619046198
0,6,0,16,-0.0616851764
0,6,0,24,-0.0618482657
0,6,0,33,-0.0617684982
1,6,1,0,-0.0620545173
1,6,1,8,-0.0623512496
1,6,1,16,-0.0620350642
1,6,1,24,-0.0619132959
1,6,1,33,-0.0616202751
2,6,2,0,-0.0616278845
2,6,2,8,-0.0623094089
2,6,2,16,-0.0619121928
2,6,2,24,-0.0623094611
2,6,2,33,-0.0618226480
3,7,0,0,-0.0615938806
3,7,0,8,-0.0621516206
3,7,0,16,-0.0619121936
3,7,0,24,-0.0616279458
3,7,0,33,-0.0619122413
4,7,1,0,-0.0623094094
4,7,1,8,-0.0623365607
4,7,1,16,-0.0617684963
4,7,1,24,-0.0618416126
4,7,1,33,-0.0616345627
5,7,2,0,-0.0617617130
5,7,2,8,-0.0618397398
5,7,2,16,-0.0619122203
5,7,2,24,-0.0620545464
5,7,2,33,-0.0617685063
6,8,0,0,-0.0616575657
6,8,0,8,-0.0616509079
6,8,0,16,-0.0616575634
6,8,0,24,-0.0616511253
6,8,0,33,-0.0616508941
7,8,1,0,-0.0623094253
7,8,1,8,-0.0622369892
7,8,1,16,-0.0622087244
7,8,1,24,-0.0625418985
7,8,1,33,-0.0617684599
8,8,2,0,-0.0625418901
8,8,2,8,-0.0618153493
8,8,2,16,-0.0618385270
8,8,2,24,-0.0618482433
8,8,2,33,-0.0624758622
9,9,0,0,-0.0619615251
9,9,0,8,-0.0625419441
9,9,0,16,-0.0617614514
9,9,0,24,-0.0623187898
9,9,0,33,-0.0617614398
10,9,1,0,-0.0617185183
10,9,1,8,-0.0620387432
10,9,1,16,-0.0616279185
10,9,1,24,-0.0623094244
10,9,1,33,-0.0617614657
11,9,2,0,-0.0618939161
11,9,2,8,-0.0621387931
11,9,2,16,-0.0616278975
