# Experiment C — Memory-capacity sweep audit trail
# script: defense_figures/experiment_c_memory_capacity/make_experiment_c_figures.py
# method (primary):   Jaeger memory capacity, smoothed-spike-count linear readout
# method (secondary): chapter-3 fading-memory τ (pulse-response decay)
# reservoir_class: LIFReservoir (Xavier-uniform W_rec rescaled to ρ=0.9)
# seed: 42
# n_res: 256
# n_input: 1
# threshold: 0.5
# target_sr: 0.9
# dissertation_beta: 0.05
# T_total: 3500
# max_tau: 30
# n_betas: 20
# columns: beta,mc_total,fading_memory_tau,mc_tau1,mc_tau2,mc_tau3,mc_tau4,mc_tau5,mc_tau6,mc_tau7,mc_tau8,mc_tau9,mc_tau10,mc_tau11,mc_tau12,mc_tau13,mc_tau14,mc_tau15,mc_tau16,mc_tau17,mc_tau18,mc_tau19,mc_tau20,mc_tau21,mc_tau22,mc_tau23,mc_tau24,mc_tau25,mc_tau26,mc_tau27,mc_tau28,mc_tau29,mc_tau30
beta,mc_total,fading_memory_tau,mc_tau1,mc_tau2,mc_tau3,mc_tau4,mc_tau5,mc_tau6,mc_tau7,mc_tau8,mc_tau9,mc_tau10,mc_tau11,mc_tau12,mc_tau13,mc_tau14,mc_tau15,mc_tau16,mc_tau17,mc_tau18,mc_tau19,mc_tau20,mc_tau21,mc_tau22,mc_tau23,mc_tau24,mc_tau25,mc_tau26,mc_tau27,mc_tau28,mc_tau29,mc_tau30
0.010000,0.787136,inf,0.051339,0.038490,0.024448,0.042026,0.037040,0.285177,0.174058,0.082386,0.026380,0.010587,0.001476,0.001537,0.000479,0.000330,0.002693,0.000104,0.000175,0.000214,0.002872,0.001400,0.001021,0.000135,0.000442,0.000102,0.000179,0.000630,0.000975,0.000247,0.000150,0.000044
0.012286,0.834969,inf,0.040494,0.022659,0.048441,0.042253,0.041268,0.342127,0.189411,0.068281,0.014635,0.003970,0.002606,0.000772,0.000571,0.003909,0.000756,0.000481,0.002074,0.001281,0.001694,0.000756,0.000294,0.000416,0.000036,0.000168,0.000360,0.004915,0.000055,0.000196,0.000087,0.000002
0.015095,0.735491,14191.2690,0.030033,0.038187,0.028039,0.024973,0.028306,0.268896,0.187505,0.079484,0.020230,0.002868,0.001036,0.000073,0.000716,0.001214,0.000107,0.000599,0.002499,0.000099,0.000062,0.001464,0.007583,0.006857,0.001354,0.000008,0.000530,0.000143,0.000866,0.000576,0.000001,0.001180
0.018546,0.739964,inf,0.050268,0.042798,0.028163,0.030421,0.020007,0.281416,0.190128,0.055448,0.023470,0.001714,0.002035,0.000002,0.000831,0.000308,0.000365,0.000082,0.003721,0.000999,0.000291,0.000103,0.000058,0.003954,0.000091,0.000478,0.000552,0.000766,0.000002,0.000001,0.000694,0.000797
0.022787,0.695856,inf,0.039581,0.031049,0.029737,0.026149,0.030268,0.277968,0.160802,0.057404,0.020618,0.005853,0.005754,0.000936,0.003295,0.000986,0.000100,0.001320,0.000297,0.000773,0.000004,0.000033,0.000663,0.000597,0.000018,0.000082,0.000062,0.000000,0.000650,0.000661,0.000002,0.000197
0.027996,0.733097,7782.3981,0.012918,0.037743,0.041072,0.038893,0.037545,0.309544,0.160261,0.048759,0.024496,0.003186,0.000648,0.006388,0.000030,0.001205,0.000864,0.000186,0.001023,0.000403,0.000213,0.000069,0.000027,0.000397,0.000035,0.000260,0.000284,0.002174,0.000202,0.001300,0.002421,0.000554
0.034397,0.788461,7777.0383,0.045447,0.041933,0.058570,0.029925,0.039190,0.288674,0.166589,0.094260,0.010202,0.002084,0.000874,0.000771,0.000251,0.001403,0.000238,0.000015,0.002546,0.000001,0.001017,0.000368,0.000080,0.000003,0.000026,0.000714,0.001700,0.000689,0.000610,0.000069,0.000206,0.000005
0.042261,0.774568,inf,0.052182,0.050963,0.056227,0.013814,0.031603,0.333119,0.147551,0.057118,0.008295,0.002936,0.002552,0.001704,0.000538,0.002880,0.000013,0.001183,0.000501,0.001078,0.000508,0.000429,0.000082,0.000014,0.000005,0.000227,0.001068,0.000502,0.000235,0.000011,0.004727,0.002502
0.051923,0.763342,4535.8079,0.031279,0.037510,0.030842,0.037858,0.040446,0.305469,0.167587,0.078734,0.008202,0.006514,0.003860,0.004118,0.000290,0.000196,0.001423,0.001342,0.001278,0.001722,0.000470,0.000031,0.000791,0.001616,0.000013,0.000009,0.000476,0.000016,0.000017,0.000980,0.000009,0.000243
0.063793,0.806992,11185.2889,0.046671,0.050302,0.039766,0.023669,0.021790,0.300101,0.198905,0.065991,0.020464,0.014638,0.001829,0.000283,0.000188,0.000099,0.009027,0.001764,0.000149,0.000033,0.000048,0.000378,0.000665,0.000749,0.000147,0.000748,0.002390,0.000667,0.002813,0.001737,0.000071,0.000912
